content,contentTranslation,languageInEnglish,preprocessed,translated,detected_lang,detected_conf
L(uci) Acti va(le).  Mystice  mus comici Icui &#12296;:vacat&#12297; pro &#12296;:vacat&#12297; te fuimus.,"Lucius Actius, farewell. Mysticus, mus(ician), (slave?) of the comedian Icuus...we were for you. (trans. Cooley and Cooley)",Latin,luci acti vale. mystice mus comici icui pro te fuimus.,"good bye light driven Mystically, we were a comic book mouse for you.",,
"Vin(icius?)
Florus
Paris
C(aius) Messenius","Vin(icius?), Florus, Paris, Gaius Messenius",Latin,"vinicius, florus, paris, caius messenius","Vinicius, flower, pear, Caius Messenius",,
Himnu&#770;s (:Hymnus),Himnus,Latin,himnûhymnus,hymn,,
Quatuor (:quattuor) cer[---],Four (...),Latin,quattuor cer.,four cer,,
"Spedio Antymo [- - -]
[redi?]bis e Pompeian[o]
a Colono sa&#803;(lutem?) 
est augusta&#818;l&#818;[is]",To Spedius Antymus (... other letters here...) from Colonus (... other letters here...),Latin,"spedio antymo est, redibis e pompeiano, a colono sạlutem , est augusta̲l̲is","it is a short time away, you will return from Pompeian, with a greeting from the colonist, it is Augusta̲l̲is",,
Lagunas (:lagoenas),Flasks,Latin,lagoenas,lagoons,,
Rufûla p(ondo?) V s(emis?),"Rufula, 5 1/2 pounds",Latin,rufûla pondo v semis,rufûla weighing v semis,,
"Caves, Timinia,
Iures","Beware, Timinia: thieves!",Latin,"caves, timinia,, iures","cautions, fears, rights",,
IIIIIIIIIIIIIIIIII,18,Latin,iiiiiiiiiiiiiiiiii,iiiiiiiiiiiiiiiiii,,
"((:gladiatores inter se dimicantes))
Euhodus
et Satura 
Puteolani","gladiators fighting with each other, Euhodus, and Satura, Puteolani",Latin,"gladiatores inter se dimicantes, euhodus, et satura , puteolani","gladiators fighting with each other, Euhodus, and Satura, Puteolani",,
[---]gius a Tertio S,[---]gius says hello to Aulus Tertius. Hello!,Latin,elogius a tertio s,praise from the third s,,
Ani&#803;ciae&#803; f&#818;e&#818;l&#818;i&#818;c&#818;i&#818;t&#818;e&#818;r&#818;,May things go happily for Anicia.,Latin,anịciaẹ f̲e̲l̲i̲c̲i̲t̲e̲r̲,anịciaẹ f̲e̲l̲i̲c̲i̲t̲e̲r̲,,
"[deli?]ciae
[---]si tangere possem
[---]entur aquas",my darling (...) if I were able to touch (passive verb here...) waters,Latin,"deliciae, quassi tangere possem, mutarentur aquas","If I could touch the delicacy, the waters would change",,
"[--- acce]pit Secundus Crusali ser(vus?)
et Valentina ((:phallus))","Secundus, the slave of Crusalus(?), along with Valentina, received (...?)",Latin," accepit secundus crusali servus, et valentina phallus","the second slave received the Crusal, and Valentine the Phallus",,
David,David,Latin,david,david,,
Cum quidam pauper ligas VI[- - -] NQ,When a certain poor man...,Latin,cum quidam pauper ligas vi. nq,when some poor man binds them by force. nq,,
M&#818;O&#818;E&#818;&#390;CIA C&#818;C&#818;,(untranslateable series of characters),Latin,m̲o̲e̲ɔcia c̲c̲,m̲o̲e̲ɔcia c̲c̲,,
Salar[ius] glabe (:glaber) RVSIVNNAE Lavinia (:Laviniam) futui,Bald Sala(rius?)... Lavinia...,Latin,salarius glaber rvsivnnae laviniam futui,Salarius glaber rvsivnnae fucked the lavinia,,
"Ex se[na]tu (:senatus) con= 
sul[to] VVCA
[---]E ICA
m&#770;ansi solus","By decree of the senate (... other letters here...), I remained alone",Latin,"ex senasenatus con= , sulto vvca, ve ica, m̂ansi solus","from senesenatus con= , sulto vvca, ve ica, m̂ansi alone",,
Burr&#803;[us] &#12296;:vacat&#12297; p&#803;edad (:petat) H,Burr(us) seeks (?),Latin,burṛus p̣petat h,burṛus p̣petat h,,
"Masueta (:Mansueta)
tene ((:phallus))","Mansueta, hold (on/it?)",Latin,"mansueta, tene phallus","tame, hold the phallus",,
"VIII K(alendas) Martias
Numisii Genialis
gladiatorum paria X
Herculani","On the eighth day before the Kalends of March (= February 22), ten pairs of gladiators (sponsored by) Numisius Genialis (will fight) at Herculaneum",Latin,"viii kalendas martias, numisii genialis, gladiatorum paria x, herculani","8 March calendars, genial coins, 10 pairs of gladiators, Herculaneum",,
R&#7865;mmius Rufus,Remnius Rufus,Latin,rẹmmius rufus,he was red-faced,,
F&#818;e&#818;licite&#803;r&#803; [P]ro&#803;c&#803;u&#803;l&#803;o&#803;,"Good luck, Proculus.",Latin,f̲e̲licitẹṛ prọc̣ụḷọ,f̲e̲licitṛ prọc̣ụḷọ,,
"Anicete Paris, va(lete)","Goodbye, Anicetus (and) Paris.",Latin,"anicete paris, valete","anicete pari, be strong",,
vol cum Marcello bona[---],If (...) with Marcellus good (...?),Latin,vol cum marcello bona.,vol with Marcellus good.,,
"Col=
((denarius))
ono (:Colono)",A denarius to (for?) Colonus,Latin,"col=, denarius, colono","col=, denarius, colono",,
"[- - -]cio s(alutem?) morieris Tomi.
Feliciter",(... other letters here...) you will die in Tomis. Good luck!,Latin,"mauricio salutem morieris tomi., feliciter",mauricus greetings you will die happily,,
"Nonis Iulis MVS[---]N M[---]N[---]
VIII[ Idus Iul]ias nata CV
Prid[ie Nonas?] Non[is? H]erclan (:Herculaneo?)  Nol(ae?)  Pomp[---]ans
&#12296;:vacat&#12297; CN I III","On the Nones of July (... damaged text here...). Eight days before the (...) was born. The day before the Nones and on the Nones (... damaged text here...) at Herculaneum, Nola, Pompeii... (...other text here).",Latin,"nonis iulis mvsin m.n., viii idus iulias nata cv, pridie nonas nonis hherculaneo nolae pomp.ans, cn i iii","On the ninth of July, m.n., the 8th day of July was born cv",,
"XI K(alendas) pane factum
III Nonas pane factum
&#12314;III&#12315;","Eleven days before the Kalends, bread was made. Three days before the Nones, bread was made. Three",Latin,"xi kalendas pane factum, iii nonas pane factum, ","11 calendas bread made, 3 nines bread made,",,
"&#12296;:columna I&#12297;
Branc
broc
trans
nus

&#12296;:columna II&#12297;
Nos=
ter 
tros 
men 

&#12296;:columna III&#12297;
Quod
quid
quae
quas

&#12296;:columna IV&#12297;
Rum
quis 
que
dem

&#12296;:columna V&#12297;
Con 
les
lis 
mu&#7735;

&#12296;:columna VI&#12297;
Mol
ma
me
mae",(Series of syllabus and words),Latin,", branc, broc, trans, nus, , , nos=, ter , tros , men , , , quod, quid, quae, quas, , , rum, quis , que, dem, , , con , les, lis , muḷ, , , mol, ma, me, mae","branc broc trans nut , , mol, ma, me, mae",,
IPIVS · VI · DV,(untranslatable series of letters),Latin,ipivs · vi · dv,ipivs · vi · dv,,
Quam mita (?) vis (?) · Pastores ateque (:atque) · Caste monit erga pugiles (?).,"How soft is violence? Shepherds too. Chastely, he warns (him?) regarding the boxers.",Latin,quam mita vis · pastores atque · caste monit erga pugiles .,how gentle you are · shepherds and · chastity admonishes towards the boxers .,,
"&#12296;:columna I&#12297;
Aquaria dua cum basis
Aqua(ria?) in manus dua cum basis
Hamas duas cum basis
Aqua(ria) in manu (:manus) cotidian[u I]
cum basis
Urciolos (:urceolos) duos
Candelabra quatuor (:quattuor)
et lucubratoriu(m) unum
Lucerna(m) aenea(m)
Hamula(m) una(m)
Pelvi(s) cum basim
et lytrum (:luterem)
Gutos tres
Scapheola dua
Ferreas strig(i)les VII
Haenas quattor (:quattuor)

&#12296;:columna II&#12297;
Marmor(em) cum basim
aenea
Fuminaria dua","Column I: Two water jugs with bases, two (hand-sized?) water jugs with bases, two water buckets with bases, a (hand-sized?) water jug with a base for everyday use, two little pitchers, four lamp-stands, one night lamp, a bronze lamp, one small water bucket, a basin with a base, and a hand basin, three flasks, two small drinking vessels, seven iron strigils, four bronze (objects?). // Column II: marble with a base, two bronze fire-pokers(?)",Latin,", aquaria dua cum basis, aquaria in manus dua cum basis, hamas duas cum basis, aquaria in manus cotidianu i, cum basis, urceolos duos, candelabra quattuor, et lucubratorium unum, lucernam aeneam, hamulam unam, pelvis cum basim, et luterem, gutos tres, scapheola dua, ferreas strigiles vii, haenas quattuor, , , marmorem cum basim, aenea, fuminaria dua",", two water basins with a base, two hand basins with a base, two hooks with a base, daily water basins with a base, two pitchers, four candlesticks, and one lampstand, a brass lamp, one bowl, a basin with a base, and a pottery three gutters, two bowls, seven iron beams, four hooks, , , marble with a base, bronze, two furnace",,
"[---]A&#818;S&#818;[---] conclave Puteolis
C&#803;[-]AN&#803;A&#803;
[---]V&#818;LII consitont (:consistunt) Herculaneses (:Herculanenses) navculae (:naviculae)
",... the place at Puteoli... the small Herculanean boats dock.,Latin,"2a̲s̲est conclave puteolis, c̣aṇạ, inv̲lii consistunt herculanenses naviculae, ","2a̲s̲est chamber of the wells, c̣aṇạ, inv̲lii stand the Herculanean boats,",,
VS SVMM,the greatest (?) (with letters rearranged?),Latin,vs svmm,vs svmm,,
Bal&#770;b(us),Balbus,Latin,bal̂bus,babble,,
Careius,Careius (OR Gaius Areius),Latin,careius,careless,,
Paris,Paris,Latin,paris,peers,,
"Mortus (:Mortuus)
Deii (:Deius)",Deii(us) is dead(?).,Latin,"mortuus, deius","dead, god",,
Q&#803;(uintus) Vet&#803;ius&#803; (:Vettius),Quintus Vet(t)ius,Latin,q̣uintus veṭiuṣ vettius,quintus veṭiuṣ vettius,,
Ursi me comedan[t],Let the bears devour me.,Latin,ursi me comedant,let the bears eat me,,
Amethyste v&#770;a(le),"Goodbye, Amethystus.",Latin,amethyste v̂ale,amethyst veil,,
[---]inibu[s? ---] feliciter,May things go happily for (some group of people - text damaged),Latin,apollinibus feliciter,Apollonius successfully,,
"Casium et
tres sc[- - -]rios habes",You have cheese and three (...),Latin,"casium et, tres scbinarios habes",and you have three scbinars,,
Exse&#770;tri (:extersi),I wiped myself,Latin,exsêextersi,to exsêxtersi,,
CA,CA,Latin,ca,ca,,
Quartu,Quartu(s),Latin,quartu,the fourth,,
Iustus cinaedu[- - -],Iustus (is a) pervert,Latin,iustus cinaedu.,just cinaedu,,
VMVCOSV,(untranslatable series of letters),Latin,vmvcosv,vmvcosv,,
"Longinus IV Idu[s Iu]lias
Iualias (:Iulias) accepit vim hila(re?)
Sturnus am(ator?)","Longinus - Four days before the Ides of July, he received physical force cheerfully. Starling(?)...",Latin,"longinus iv idus iulias, iulias accepit vim hilare, sturnus amator","far away iv he took julias, julias took the power to cheer, a starling lover",,
"Apelles Mus cum fratre Dextro
amabiliter futuimus bis
bina (:binas)","Apelles Mus (was here) with his brother Dexter. We had a great time (literally, lovingly had intercourse), twice with two girls.",Latin,"apelles mus cum fratre dextro, amabiliter futuimus bis, binas","apeles the mouse with his brother on the right, we fucked amiably twice, two times",,
Euhodu&#803;s&#818;,Euhodus,Latin,euhodụs̲,euhodûs̲,,
"&#12296;:columna I&#12297;
Urso 
&#12296;:columna II&#12297;
Urso","To the bear, to the bear",Latin,", urso , , urso",", bear, , bear",,
Magius,Magius,Latin,magius,more,,
"&#12296;:ad perpendiculum&#12297; 
C(aius) Lucia&#770;n&#770;us",Gaius Lucianus,Latin," , caius luciân̂us",", Caius Luciân̂us",,
&#390; Semproni,The century (unit) of Sempronius,Latin,ɔ semproni,ɔ semproni,,
Q R,(Individual letters),Latin,q r,q r,,
L(ucius) · Lollius procûr(ator),Lucius Lollius procurator,Latin,lucius · lollius procûrator,lucius · lollius procurator,,
"Geganius
Romulus
aedilis
ivenalium (:iuvenalium)","Geganius Romulus, aedile of the iuvenales",Latin,"geganius, romulus, aedilis, iuvenalium","giant, romulus, aedile, youthful",,
Sev+,Beginning of name? (Severus),Latin,sev,sev,,
"&#12296;:ad perpendiculum&#12297;
Cinn(amus?)",Cinn(amus?),Latin,", cinnamus",", let's go",,
Trae(x) (:Thraex),Thraex (style of gladiator),Latin,traex thraex,train train,,
"Mo
Modest(us)","mo, modest",Latin,"mo, modestus","mo, modest",,
"Q(uintus) Caeicilius (:Caecilius)
Q(uintus) Cae(cilius)
L(ucius) Cae&#803;(cilius)","Quintus Caecilus, Quintus Cae(cilius), Lucius Cae(cilius)",Latin,"quintus caecilius, quintus caecilius, lucius caẹcilius","the fifth caecilius, the fifth caecilius, the light caecilius",,
"&#12296;:stria 4&#12297;
D
D
 
&#12296;:stria 5&#12297;
R
ATA
B
((:caduceus))
S
S
 
&#12296;:stria 6&#12297;
((:caduceus))
S
CX
 
&#12296;:stria 7&#12297;
S
S
V&#770;ôt&#770;r(oni?)
&#12296;:textus non legitur&#12297;
 
&#12296;:stria 8&#12297;
Aseli=
a=
m (:Asellam)
CXL","(Individual letters, drawings of a caduceus), Votr(onius?), Asella, 140",Latin,", d, d, , , r, ata, b, caduceus, s, s, , , caduceus, s, cx, , , s, s, v̂ôt̂roni, , , , aseli=, a=, asellam, cxl",", d , d",,
"PI
&#12296;:vacat&#12297;
G
G
C
",(Individual letters),Latin,"pi, , g, g, c, ","pi, , g, g, c,",,
"Duobus
Fabi(i)s fe[l(iciter)]","for two, the beans are successfully",Latin,"duobus, fabiis feliciter","for two, the beans are successfully",,
((centuria)) Clementis,The century (unit) of Clemens,Latin,centuria clementis,a merciful century,,
"&#12296;:ad perpendiculum&#12297;
Castalo s(alutem)","Hi, Castalus!",Latin,", castalo salutem",", greetings to the castle",,
Nero,black,Latin,nero,black,,
"&#12296;:adperpendiculum&#12297;
DTCIVBXA",", dtcivbxa",Latin,", dtcivbxa",", dtcivbxa",,
"Pompe&#12296;:vacat&#12297; IV a(ssibus) III S(emis)
P(ondo?) lard(i) a(ssibus) III
Vinum a(sse) S(emis)
Casium a(sse) S(emis)
Oleum a(sse) I
Panem a(ssibus) I S(emis)
Suar(ium?) a(ssibus) IIII
","At Pompeii ? 4(??), 3 1/2 asses (?), a pound of lard - 3 asses (small coins), wine - 1/2 as, cheese - 1/2 as, oil - 1 as, bread - 1 1/2 asses, suet/pork? - 4 asses.",Latin,"pompe iv assibus iii semis, pondo lardi assibus iii, vinum asse semis, casium asse semis, oleum asse i, panem assibus i semis, suarium assibus iiii, ","pompe iv with 3 bushels, the weight of bacon with 3 bushels, wine with a bushel, cassava with a bushel, oil with 1 bushel, bread with 1 bushel, pork with 3 bushels,",,
"((:trophaeum?))
ATIIIIVS NAS
II+",(Drawing and series of letters),Latin,"trophaeum, atiiiivs nas, ii","trophy, atiiivs nas, ii",,
"Dos 
I a(ssis)",Give (Greek imperative!) one as (small coin),Latin,"dos , i assis","dos, i assis",,
NavaS&#803;&#803;P&#803;a,navaṣ̣p̣a,Latin,navaṣ̣p̣a,navaṣ̣p̣a,,
A(ulus) L&#7883;c&#803;&#7883;&#7751;&#7883;u&#818;s&#818;,Aulus Lincinius,Latin,aulus lịc̣ịṇịu̲s̲,aulus lịc̣ịṇịu̲s̲,,
"Phoebus unguentarius
optume (:optime) futuit","Phoebus, the perfumer, was very well-dressed",Latin,"phoebus unguentarius, optime futuit","Phoebus, the perfumer, was very well-dressed",,
"((:avis externa in arboris ramo stans)) 
BO",BO,Latin,"avis externa in arboris ramo stans , bo","external bird standing on a branch of a tree, bo",,
VRB,VRB,Latin,vrb,verb,,
"&#12296;:stria 3&#12297;
M  

&#12296;:stria 5&#12297;  
B   

&#12296;:stria 10&#12297;
M 

&#12296;:stria 11&#12297;      
XX",(Individual letters),Latin,", m , ,  , b  , , , m , ,    , xx",", m , , , b , , , m , , xx",,
Voltini ((mille)),Voltinus' - 1000,Latin,voltini mille,"1,000 volts",,
"L
PED",(Series of letters),Latin,"l, ped","1, foot",,
"&#12296;:stria 7&#12297;
C   
&#12296;:stria 8&#12297;
A",(Individual letters),Latin,", c  , , a",", c , a",,
IIIIII,6,Latin,iiiiii,iiiiii,,
"&#12296;:ad perpendiculum, sursum?&#12297;
M(arci) Brut(t)idi Stati","Oh, Marcus Bruttidius Statius",Latin,", marci bruttidi stati",", the mark of the ugly state",,
"Urbanus
hc (:hic) lus (:lusit) VI Idus
decemrias (:decembres)",Urbanus played (performed?) here six days before the Ides of December,Latin,"urbanus, hic lusit vi idus, decembres","urbane, here he played with force, December",,
EMIMIMVSOMA,[Text of uncertain meaning.],Latin,emimimvsoma,emimimvsoma,,
"VIII 
IIIIIIII","8, 8",Latin,"viii , iiiiiiii","viii, iiiiiiii",,
IIIII,5,Latin,iiiii,iiiii,,
Aprodite (:Aphrodite) issa (:ipsa),Aphrodite herself,Latin,aphrodite ipsa,Aphrodite herself,,
"((:caput hominis ad sin.)) 
Surus (:Syrus)
Hol(coni?)","Syrus, (slave of) Hol(conius?)",Latin,"caput hominis ad sin. , syrus, holconi","a man's head to his sin. , Syrian, Holconi",,
"&#12296;:columna I&#12297;
[quid f]it? vi me, oculeì (:oculi), posquam (:postquam) deducxstis (:deduxistis) in ignem
[no]n ob vim vestreis (:vestris) largificatis geneis.
[porr]&#7885; non possunt lacrumae restinguere flamam (:flammam),
[hae]c os incendunt tabificantque animum. 

&#12296;:columna II&#12297;
Tiburtinus epoese (:&#7952;&#960;&#959;&#943;&#951;&#963;&#949;)",,Latin/Greek,", quid fit vi me, oculi, postquam deduxistis in ignem, non ob vim vestris largificatis geneis., porrọ non possunt lacrumae restinguere flammam,, haec os incendunt tabificantque animum. , , , tiburtinus epoese ἐποίησε",,,
"sei (:si) quid amor valeat nostei (:novisti), sei (:si) te hominem scis,
commiseresce mei, da veniam ut veniam.
flos Veneris mihi de","if you knew what love is worth, if you know yourself as a human being",Latin,"si quid amor valeat novisti, si te hominem scis,, commiseresce mei, da veniam ut veniam., flos veneris mihi de","if you knew what love is worth, if you know yourself as a human being",,
calos Paris,,Latin/Greek,calos paris,,,
Icare v&#803;(ale),"Bye, Icarus",Latin,icare ṿale,icare ṿale,,
Balai,[Text of uncertain meaning],Latin,balai,sweep,,
IIIIII,6,Latin,iiiiii,iiiiii,,
"Antonius
&#12296;:trans hanc&#12297;
M M M S
","antonius, , m m m s,",Latin,"antonius, , m m m s, ","antonius, , m m m s,",,
XXXXXIII,53,Latin,xxxxxiii,xxxxxiii,,
IIIIIIII,8,Latin,iiiiiiii,iiiiiiii,,
Chole (:Chloe) Clemen,"Chloe, Clemen(s?)",Latin,chloe clemen,chloe clemen,,
"V
",5,Latin,"v, ",V,,
C(aius) Lalius,Gaius Lalius,Latin,caius lalius,caius lalius,,
"Tu, dea, tu presenos tro (:praesens nostros) succurre labore (:labori)","you, goddess, help us in our present labor",Latin,"tu, dea, tu presenos tro praesens nostros succurre labori","you, goddess, help us in our present labor",,
Mystice va(le),"Bye, Mysticus",Latin,mystice vale,mystical farewell,,
XV,15,Latin,xv,xv,,
Fortunata fellat,lucky fellas,Latin,fortunata fellat,lucky fellas,,
"q&#7909;isquis es, amiss&#7885;&#7779; hi&#7751;[c iam ob]=
liviscere Gra&#7883;&#7885;s.
Scribit Narciss(us)
ER","whoever you are, miss this already because of the loss of grace., writes Narcissus, er",Latin,"qụisquis es, amissọṣ hiṇc iam ob=, liviscere graịọs., scribit narcissus, er","whoever you are, miss this already because of the loss of grace., writes Narcissus, er",,
"P(ubli) Pro=
pesi
cuntus. 
Verpa
que (:quae) is=
tuc
leges.
&#12296;:vacat&#12297;
Non es
fiden=
ter,
script=
o (:scriptor)
((:phallus))","Publius Propesius, jerk. You who read this are a prick.    -- You are not trustworthy, writer. (drawing of a phallus)",Latin,"publi pro=, pesi, cuntus. , verpa, quae is=, tuc, leges., , non es, fiden=, ter,, script=, scriptor, phallus","public pro=, weighed, counted , verpa, what is=, here, read., , you are not, fiden=, thrice,, script=, writer, phallus",,
IIIIIIIII,9,Latin,iiiiiiiii,iiiiiiiii,,
"VI
",6,Latin,"vi, ",force,,
"&#12296;:ad perpendiculum&#12297; 
M(arcus) Atillius (:Atilius) hic stationem fecit 
",Marcus Atillius made a stop here.,Latin," , marcus atilius hic stationem fecit , ",", Marcus Atilius made a station here,",,
"N&#770;T
MA",(Individual letters),Latin,"n̂t, ma","n̂t, ma",,
XXII,22,Latin,xxii,XXII,,
Icar(us),Icarus,Latin,icarus,icarus,,
"Nauplius
Clappo salu(tem)",Nauplius sends greetings to Clappus.,Latin,"nauplius, clappo salutem","sailor, I clap my greetings",,
"R&#803;A&#803;
VR",(Incomprehensible series of letters),Latin,"ṛạ, vr","ṛạ, vr",,
IIIIIIII,8,Latin,iiiiiiii,iiiiiiii,,
Militibus ub(ique salutem?),(Greetings?) to soldiers everywhere,Latin,militibus ubique salutem,Greetings to soldiers everywhere,,
"Phosphor(us) tuis
choreis","your phosphorus, your dances",Latin,"phosphorus tuis, choreis","your phosphorus, your dances",,
q&#803;uo&#803;&#7779;,Whom,Latin,q̣uọṣ,which,,
