content,apparatus,sourceFindSpot,contentTranslation,caption,writingStyleInEnglish,languageInEnglish,cil,citation,preciseLocation,italianPropertyName,numberOfGraffiti,propertyNumber,insula.shortName,insula.fullName,insula.city.name,insula.city.pleiadesId,englishPropertyName,additionalEntrances,propertyName,descriptionInEnglish,descriptionInLatin
&#913;&#914;&#915;&#916;&#917;&#918;&#919;&#920;&#921;&#922;&#923;&#924;,Textus et mensurae secundum (1)<br>Prope EDR140204,"Ercolano (Napoli), Insula III.19, Casa dell'Albergo",Beginning of Greek alphabet,Greek alphabet,Graffito/incised,Greek,10707,"AGP-EDR154588, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154588&gt; [accessed: 27 Mar 2023]",,Casa dell'Albergo,4,19,III,Insula III,Herculaneum,432873,House of the Inn,"1,2,18",House of the Inn,,
XII,Textus et mensurae secundum (3)<br>,"Ercolano (Napoli), Terme Suburbane",12,Roman numerals,Graffito/incised,Latin,10682,"AGP-EDR154369, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR154369&gt; [accessed: 27 Mar 2023]",,Terme Suburbane,13,ow2,OutsideWalls,Outside Walls,Herculaneum,432873,Suburban Baths,,Suburban Baths,,
&#7961;&#961;&#956;&#943;&#945;(&#962;),"Textus et mensurae secundum (1); periit (3).<br>Contulerunt et non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali",Hermias (i.e. a name),Graffito in Greek,Graffito/incised,Greek,10594,"AGP-EDR151884, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151884&gt; [accessed: 27 Mar 2023]",,Terme Centrali,21,"1,7-10",VI,Insula VI,Herculaneum,432873,Central Baths,,Central Baths,,
((:vir baculo nixus)),"Textus secundum (1); periit (1)-(2) <br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>Prope EDR145936","Ercolano (Napoli), Insula VI.1,7-10, Terme Centrali",,Drawing of a man,charcoal,,10596,"AGP-EDR156776, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR156776&gt; [accessed: 27 Mar 2023]",,Terme Centrali,21,"1,7-10",VI,Insula VI,Herculaneum,432873,Central Baths,,Central Baths,man leaning on staff,vir baculo nixus
((:galea gladiatoria cum crista ad sin.)),"Textus et mensura secundum (2). Gibson, Hardy, Minnear, Smith contulerunt et mensuras prehenderunt (HGP) a. 2016. <br>HGP mensurae, alt.: 6,6<br>HGP mensurae, lat.: 7,4<br>Prope EDR143814, EDR143815, EDR143832, EDR143833, EDR144659, EDR144783, EDR144784, EDR147158.","Ercolano (Napoli), Insula V.35, Casa del Gran Portale",,Drawing of a gladiator helmet,Graffito/incised,,10711,"AGP-EDR143634, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR143634&gt; [accessed: 27 Mar 2023]",,Casa del Gran Portale,14,35,V,Insula V,Herculaneum,432873,House of the Grand Portal,,House of the Grand Portal,gladiator helmet with crest facing left,galea gladiatoria cum crista ad sin.
&#934;&#953;&#955;&#953;&#960;&#960;&#949;&#803;,"Textus secundum (3), mensurae secundum (1), qui indicat haec inscriptio intra ultima littera B (EDR140056) erat. Periit (4). <br>Contulerunt et non invenerunt Beall, Bey IV, Opdenhoff, Tomasi, Zimmermann Damer a. 2014.<br>v. 1: trascrizione del latino Philippi (1), &#934;&#921;&#923;&#921;&#928;&#928;&#921; (2), it is... likely that the final mark is only part of the letter the writer intended to inscribe. The vertical stroke was very possibly the beginning of an epsilon (3)","Ercolano (Napoli), Insula V.35, Casa del Gran Portale, Facade",Oh Philippos!,Graffito in Greek,Graffito/incised,Greek,10588b,"AGP-EDR140057, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140057&gt; [accessed: 27 Mar 2023]","Insula V.35, Casa del Gran Portale, Facade",,0,0,Unknown,,Herculaneum,,,,Not found,,
Salvia Superba,"Textus et mensurae secundum (3).<br>Contulerunt DiBiasie-Sammons, Sypniewski, Gibson, et Kitchens (HGP) a. 2018 .<br>v. 1: Salvia haec eadem est, quae Rectina apud Plin. Epist. VI 16, 8-9 vocatur (1), sed illa opinio parum probabilis videtur<br>Prope EDR140180, EDR140141, EDR140138, EDR151872, EDR140134, EDR140164","Ercolano (Napoli), Insula V.31, Casa del Sacello di Legno",Salvia Superba,Graffito naming Salvia Superba,Graffito/incised,Latin,10583b,"AGP-EDR140139, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140139&gt; [accessed: 27 Mar 2023]",,Casa del Sacello di Legno,14,31,V,Insula V,Herculaneum,432873,House of the Wooden Shrine,,House of the Wooden Shrine,,
"Misit &#12296;:vacat&#12297; iter(um?)
agnas s
o sim&#803;plex cima
nempius","Textus secundum (1), contulerunt ad ectypum et suppleverunt Sypniewski et Benefiel a. 2016.<br>v. 1: ITER pro ITER(UM)?<br>v. 3: CIMA pro CYMA? (&#954;&#8166;&#956;&#945;)<br>v. 1, 3-4: II pro littera E scriptum","Ercolano (Napoli), locus incertus","He sent, a second time, female lambs (...other letters here...)",Graffito mentioning animals,Graffito/incised,Latin,5450,"AGP-EDR159778, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR159778&gt; [accessed: 27 Mar 2023]",,,0,0,Unknown,,Herculaneum,,,,Not found,,
IVSTAR,"Textus secundum et mensurae secundum (2)<br>v. 1: Iusta r(. . .) (1)<br>Contulerunt et mensuras prehenderunt Clikeman, King, Liu, Loar, et Lundquist (HGP) a. 2014.<br>HGP mensurae, alt.: 2,0 <br>HGP mensurae, lat.: 4,0 <br>HGP mensurae, litt. alt.: 0,4-0,9<br>Prope EDR140255<br>","Ercolano (Napoli), Insula III.16, Casa dell'Erma di Bronzo",Iusta (i.e. a name)...,Graffito,Graffito/incised,Latin,10507,"AGP-EDR140148, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140148&gt; [accessed: 27 Mar 2023]",,Casa dell'Erma di Bronzo,2,16,III,Insula III,Herculaneum,432873,House of the Bronze Herm,,House of the Bronze Herm,,
&#922;&#959;&#947;&#953;&#964;&#940;&#964;&#959;&#965;&#1010; S,"Textus secundum (3), mensurae secundum (1); Contulerunt et non invenerunt DiBiasie et Sypniewski (AGP) a. 2018.<br>Locus secundum (2)<br>v. 1: &#922;&#927;&#915;&#921;&#932;&#913;&#932;&#927;&#933;&#1017; scriptum Graece pro COGITATUS, ultimum signum non littera est sed ornamentum (3)","Ercolano (Napoli), Insula IV.2, Casa del Atrio a Mosaico",Cogitatus (i.e. a name),Graffito in Greek,Graffito/incised,Latin/Greek,10505,"AGP-EDR140142, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140142&gt; [accessed: 27 Mar 2023]",,Casa dell'Atrio a Mosaico,9,2,IV,Insula IV,Herculaneum,432873,House of the Mosaic Atrium,1,House of the Mosaic Atrium,,
"Qu[aesi]vi hic facias re[s s]erva omnes res tuas [- - -] quem nol[i - - -] nobi[s iun]ge neque servabo
ne q[ui]s ius lum(inum) salvum 
","Textus secundum (1, p. 247); mensurae secundum (2); periit (3).<br>Contulerunt et non invenerunt Clikeman, Damer, Jepsen, MacDonald (HGP) a. 2016.<br>vv. 1-2: II scriptum pro littera E; titulus lectu difficillimus (2).<br>vv. 1-2: Della Corte hunc titulum legit a. 1929 (1, p. 247) et iterum, lectione <br>diversa, a. 1934 (1, p. 273);  lectio antiquior est aptior (2).<br>v. 1: aliae litterae in apografo videntur (2). Inter TVAS et QVEM legitur NIM et fortasse VM. Inter NOL et NOBI legitur QV vel QI. Ante NOB sunt quae V vel E vel I significare videntur (2). <br>v. 2: ne q[ui]s ius lum[inum] salvum (obstruat?) (2) <br>Mensurae:<br>v. 1: alt.: 3,0; lat.: 52,8<br>v. 2: alt.: 1,2; lat.: 14,4<br>","Ercolano (Napoli), Insula IV.10, Taberna",... I asked that you do this... all your affairs... which... safe.,Graffito,Graffito/incised,Latin,10522,"AGP-EDR151831, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151831&gt; [accessed: 27 Mar 2023]",,Taberna,6,10,IV,Insula IV,Herculaneum,432873,Taberna,connected to 11,Taberna,,
"&#920;
Faustus
Nothus
Nothus
((:nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis))
","Textus et mensurae secundum (1); periit (3).<br>Langner (2) attribuit v. 2 ad suum numerum 11, et v. 3 ad suum numerum 12, omisit v. 4. <br>v. 3: NOTHVS aut NEPTVNVS (2) <br>Mensurae:<br>v. 1: lat.: 2,3; litt. alt.: 3,4<br>v. 2: lat.: 12,6; litt. alt.: 1,1-5,3<br>v. 3: lat.: 8,5; litt. alt.: 1,1-2,9<br>v. 4: lat.: 11,1; litt. alt.: 1,8-5,1","Ercolano (Napoli), Insula IV.15-16, Grande Taberna",Θ Faustus Nothus Nothus,Names written in the shape of boats,Graffito/incised,Latin,10532,"AGP-EDR144354, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR144354&gt; [accessed: 27 Mar 2023]",,Grande Taberna,22,15-16,IV,Insula IV,Herculaneum,432873,Grand Taberna,"12,13",Grand Taberna,"names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice","nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis"
Vibidi,"Textus secundum (1), lapsu tectorii periit (2). <br>Prope EDR140220, EDR140224, EDR140230, EDR140231, EDR140213","Ercolano (Napoli), Insula IV.15-16, Grande Taberna",Of Vibidius (?) OR Vibidi(us...?),Graffito naming Vibidius (?),Graffito/incised,Latin,10537,"AGP-EDR140237, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140237&gt; [accessed: 27 Mar 2023]",,Grande Taberna,22,15-16,IV,Insula IV,Herculaneum,432873,Grand Taberna,"12,13",Grand Taberna,,
ovas EVCL E VA M X P vectat,"Textus et mensurae secundum (2), periit (4). Contulerunt et non invenerunt Campbell, Helms, Hicks, Nyhuis, Rasmussen, Rebman (HGP) a. 2014.<br>Hic titulus olim erat iuxta parvam picturam quae nunc periit (3).<br>v. 1: II scriptum pro ultima littera E. Litterae X et P sunt dubiae lectionis (2), sed illae videntur satis clarae in imagine apud (3).","Ercolano (Napoli), Insula IV.15-16, Grande Taberna",You rejoice (...other letters here...) it carries.,Series of letters,Graffito/incised,Latin,10539,"AGP-EDR140217, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140217&gt; [accessed: 27 Mar 2023]",,Grande Taberna,22,15-16,IV,Insula IV,Herculaneum,432873,Grand Taberna,"12,13",Grand Taberna,,
P P P redire   si minus   innecteb(is?) et te [---],"Textus secundum (1), mensurae secundum (2), lapsu tectorii periit (3)<br>v. 1: REDIRE bis scriptum (2) <br>Prope EDR140221, EDR140226, EDR140232, EDR140233","Ercolano (Napoli), Insula IV.15-16, Grande Taberna","To return, to return, if (I? he? she?) was not entangling (being entangled?) ... and you...",Poetic graffito (?),Graffito/incised,Latin,10542,"AGP-EDR140223, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR140223&gt; [accessed: 27 Mar 2023]",,Grande Taberna,22,15-16,IV,Insula IV,Herculaneum,432873,Grand Taberna,"12,13",Grand Taberna,,
&#12296;:textus non legitur&#12297;,"Textus secundum (3), mensurae secundum (1), periit (4). <br>Contulerunt et non invenerunt Campbell, Helms, Hicks, Nyhuis, Rasmussen, Rebman (HGP) a. 2014.<br>v. 1: Lectu difficillimus, apographum apud (2) legi videtur: &#935;L&#925;&#923;&#920;VII&#925;&#921;V?<br>v. 1: VLNA O(R)DINIVS (?) (1), solum apographum datur (2), Die Transkription VLNA O(R)DINIVS? ist sinnlos (3), contain[s] a series of Greek characters that cannot be deciphered (4) <br>Prope EDR142438","Ercolano (Napoli), Insula IV.19, Casa della Stoffa",(Incomprehensible series of characters),Series of characters,Graffito/incised,Latin/Greek,10554b,"AGP-EDR142439, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR142439&gt; [accessed: 27 Mar 2023]",,Casa della Stoffa,7,19,IV,Insula IV,Herculaneum,432873,House of the Fabric,20,House of the Fabric,,
C(aius) Ostius (:Hostius),"Textus secundum (3), mensurae secundum (2). Contulit et emendavit R. Benefiel a. 2018 ex apographo.<br>v. 1: C. Ostius (1)(2), sed Ostius pro nomine Hostius scriptum erat.<br>Contulerunt et non invenerunt Clikeman, Damer, Jepsen, MacDonald (HGP) a. 2016. Tectorium collapsum est.","Ercolano (Napoli), Insula IV.21, Casa dei Cervi","Gaius Hostius (here, pronounced Ostius)",Graffito naming Gaius (H)ostius,Graffito/incised,Latin,10558,"AGP-EDR151863, <i>The Ancient Graffiti Project</i>, &lt;http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR151863&gt; [accessed: 27 Mar 2023]",,Casa dei Cervi,24,21,IV,Insula IV,Herculaneum,432873,House of Stags,,House of the Stags,,
